content_id,client_id,baseline_score,reason_code,action,rank
content_48724397d104,client_d4735e3a26,6,stale_and_strong_decline,review,1
content_b16bd7307b39,client_7f2253d7e2,6,stale_and_strong_decline,review,2
content_4f241bad48a3,client_6208ef0f77,6,stale_and_strong_decline,review,3
content_bbca724138f2,client_6208ef0f77,6,stale_and_strong_decline,review,4
content_a34d943a132c,client_d029fa3a95,6,stale_and_strong_decline,review,5
content_164eee6bf9c1,client_d029fa3a95,6,stale_and_strong_decline,review,6
content_fe16a55cd13d,client_7f2253d7e2,6,stale_and_strong_decline,review,7
content_10b9f5f766b4,client_d4735e3a26,6,stale_and_strong_decline,review,8
content_cd27391ecd03,client_d029fa3a95,6,stale_and_strong_decline,review,9
content_fc8cb7532683,client_d029fa3a95,6,stale_and_strong_decline,review,10
content_9b7a283bd1c9,client_d029fa3a95,6,stale_and_strong_decline,review,11
content_f01216059a6a,client_4ec9599fc2,6,stale_and_strong_decline,review,12
content_1bfaa38ff26c,client_7f2253d7e2,6,stale_and_strong_decline,review,13
content_8f2c815af658,client_d59eced1de,6,stale_and_strong_decline,review,14
content_7a888d3d99c8,client_19581e27de,6,stale_and_strong_decline,review,15
content_36936cb3b03c,client_d4735e3a26,6,stale_and_strong_decline,review,16
content_0af51f20a3da,client_d029fa3a95,6,stale_and_strong_decline,review,17
content_e2b702f4f92b,client_4ec9599fc2,6,stale_and_strong_decline,review,18
content_adfc46f3f033,client_d029fa3a95,6,stale_and_strong_decline,review,19
content_1a4ae9dc2f72,client_d029fa3a95,6,stale_and_strong_decline,review,20
content_94d6b610fb8e,client_d4735e3a26,6,stale_and_strong_decline,review,21
content_5feee3994adb,client_7f2253d7e2,6,stale_and_strong_decline,review,22
content_c2d929d83eaa,client_7f2253d7e2,6,stale_and_strong_decline,review,23
content_10bd2440e4ac,client_d029fa3a95,6,stale_and_strong_decline,review,24
content_b81e0f46cea9,client_d029fa3a95,6,stale_and_strong_decline,review,25
content_f4b3081037b3,client_8722616204,6,stale_and_strong_decline,review,26
content_7368877ea310,client_7f2253d7e2,6,stale_and_strong_decline,review,27
content_cf56e2e2e282,client_7f2253d7e2,6,stale_and_strong_decline,review,28
content_b694314765e5,client_d4735e3a26,6,stale_and_strong_decline,review,29
content_0173fb0dc986,client_d029fa3a95,6,stale_and_strong_decline,review,30
content_94991fe6268c,client_19581e27de,6,stale_and_strong_decline,review,31
content_180fabd3a3e0,client_d029fa3a95,6,stale_and_strong_decline,review,32
content_ccfb4d0227b1,client_d59eced1de,6,stale_and_strong_decline,review,33
content_277fa742f704,client_d4735e3a26,6,stale_and_strong_decline,review,34
